restaurant,tag,url,review,len,rating,count
비야게레로,"멕시코,남미음식",36528809,"['4.25', '999']",2,4.25,999.0
탄탄면공방 파르나스몰점,아시아음식,1092599128,"['4.57', '999']",2,4.57,999.0
이비티 코엑스점,양식,1741350353,"['4.35', '773']",2,4.35,773.0
수다 삼성1호점,이자카야,37282214,"['4.7', '999']",2,4.7,999.0
스시히로바 삼성동본점,"초밥,롤",18457218,"['4.3', '999']",2,4.3,999.0
온더보더 코엑스도심공항점,"멕시코,남미음식",35928370,"['4.43', '999']",2,4.43,999.0
스시욘즈,일식당,1757890886,"['4.65', '530']",2,4.65,530.0
마노디셰프 삼성점,이탈리아음식,13096864,"['4.54', '999']",2,4.54,999.0
데블스도어 코엑스점,"맥주,호프",1392610501,"['4.19', '999']",2,4.19,999.0
광화문석갈비 코엑스점,"육류,고기요리",1391098501,"['4.63', '999']",2,4.63,999.0
비언유주얼,양식,1789186517,"['4.68', '999']",2,4.68,999.0
인터컨티넨탈 서울 코엑스 로비 라운지 & 바,양식,37244454,"['4.15', '999']",2,4.15,999.0
하동관 코엑스몰직영점,"곰탕,설렁탕",36112273,"['4.36', '999']",2,4.36,999.0
탐라도야지,돼지고기구이,37026271,"['4.74', '999']",2,4.74,999.0
모도우 삼성점,소고기구이,1048315258,['999'],1,,999.0
무월식탁 파르나스점,한식,1893905299,"['4.39', '999']",2,4.39,999.0
육성급,"육류,고기요리",1275553707,"['4.61', '543']",2,4.61,543.0
포스톤즈 삼성본점,"카페,디저트",1437513434,['999'],1,,999.0
매드포갈릭 봉은사 아이파크타워점,이탈리아음식,21844799,"['4.45', '999']",2,4.45,999.0
카페드리옹 코엑스점,카페,1486267884,"['4.62', '999']",2,4.62,999.0
알로하테이블 코엑스파르나스몰점,양식,35873210,"['4.37', '999']",2,4.37,999.0
번패티번 현대백화점무역센터점,햄버거,1067740099,['815'],1,,815.0
캘리포니아피자키친 코엑스점,피자,37471418,"['4.3', '999']",2,4.3,999.0
호우섬 코엑스점,중식당,1222515682,"['4.12', '999']",2,4.12,999.0
젠제로,아이스크림,505338596,"['4.63', '999']",2,4.63,999.0
더플레이스 스타필드 코엑스점,이탈리아음식,36028216,"['4.48', '999']",2,4.48,999.0
경천애인2237,소고기구이,32389127,"['4.38', '999']",2,4.38,999.0
생어거스틴 파르나스몰점,아시아음식,35769945,"['4.41', '999']",2,4.41,999.0
더라운드 삼성점,중식당,1790104492,"['4.38', '505']",2,4.38,505.0
르사이공 코엑스몰점,베트남음식,36778857,"['4.39', '999']",2,4.39,999.0
스시한판 코엑스점,"초밥,롤",36166511,"['4.14', '999']",2,4.14,999.0
스시츠카무 파르나스몰점,"초밥,롤",1385409016,"['4.34', '999']",2,4.34,999.0
민규 삼성점,"육류,고기요리",1379805770,['183'],1,,183.0
크랩52,해산물뷔페,1147977307,['477'],1,,477.0
가배도 코엑스점,카페,1062251833,"['4.39', '999']",2,4.39,999.0
시추안하우스 삼성점,중식당,13179957,"['4.39', '999']",2,4.39,999.0
앙꼬,"카페,디저트",1501329817,"['4.48', '449']",2,4.48,449.0
성북동청국장,"찌개,전골",32548148,"['4.36', '881']",2,4.36,881.0
삼성리,양식,1221177288,"['4.53', '412']",2,4.53,412.0
티하우스 청담,"카페,디저트",1183810461,"['4.51', '722']",2,4.51,722.0
테라로사 코엑스점,카페,36779618,"['4.41', '999']",2,4.41,999.0
플랜튜드,퓨전음식,1973574446,['997'],1,,997.0
목포명가 삼성점,생선회,1175426255,['807'],1,,807.0
무삥과팟타이 삼성점,태국음식,1212017659,"['4.44', '445']",2,4.44,445.0
그랜드 인터컨티넨탈 서울 파르나스 그랜드 키친,뷔페,34584853,"['4.57', '999']",2,4.57,999.0
르뱅룰즈,베이커리,1422058766,"['4.62', '999']",2,4.62,999.0
브루클린더버거조인트 삼성점,햄버거,37020568,"['4.44', '999']",2,4.44,999.0
호신각,중식당,1878325361,"['4.55', '999']",2,4.55,999.0
사이드쇼,분식,37072845,"['4.23', '999']",2,4.23,999.0
카페마마스 코엑스점,양식,34585484,['999'],1,,999.0
장정정,일식당,1647747553,"['4.55', '999']",2,4.55,999.0
르푸도레,베이커리,1910910096,"['4.38', '999']",2,4.38,999.0
멘야미코 청담역점,"우동,소바",622926456,"['4.34', '434']",2,4.34,434.0
신왕우육면,중식당,1547588467,['97'],1,,97.0
이나세,"우동,소바",1025930600,"['4.36', '999']",2,4.36,999.0
지구당 선릉역점,덮밥,1828080551,"['4.35', '999']",2,4.35,999.0
수담 한정식,한정식,13116182,"['4.35', '999']",2,4.35,999.0
서백자 간장게장,게요리,1886523290,"['4.27', '149']",2,4.27,149.0
청담오뎅,"오뎅,꼬치",452781314,"['4.46', '267']",2,4.46,267.0
꼰티꼬,양식,1064269885,"['5', '185']",2,5,185.0
황소곱창,"곱창,막창,양",38237622,"['4.55', '316']",2,4.55,316.0
신라스테이 삼성 카페,뷔페,1189939821,"['4.26', '485']",2,4.26,485.0
아메리칸테이블,양식,1694252830,"['4.68', '999']",2,4.68,999.0
다이닝 갈비,"육류,고기요리",1402276053,['245'],1,,245.0
플랑플랑,케이크전문,37322802,"['4.52', '520']",2,4.52,520.0
조인바이트,양식,1241491463,['999'],1,,999.0
용호동낙지 강남직영점,낙지요리,1874679673,"['4.19', '999']",2,4.19,999.0
스폰티니 PUB 삼성중앙점,피자,1828992303,"['4.37', '424']",2,4.37,424.0
살루쪼,이탈리아음식,38654970,"['4.46', '624']",2,4.46,624.0
한스 코엑스점,카페,37997733,"['4.35', '617']",2,4.35,617.0
37.5 청담삼성점,브런치,1081922758,"['4.69', '999']",2,4.69,999.0
피그인더가든 코엑스점,"다이어트,샐러드",1714908466,"['4.36', '999']",2,4.36,999.0
아이수마,이탈리아음식,1303696438,"['4.52', '606']",2,4.52,606.0
일일향 삼성11호점,중식당,1419894723,"['4.39', '713']",2,4.39,713.0
인터컨티넨탈 서울 코엑스 스카이 라운지,양식,19867450,"['4.56', '808']",2,4.56,808.0
르뱅룰즈 선릉점,베이커리,1235425429,['999'],1,,999.0
스시산원,"초밥,롤",34006938,"['4.54', '575']",2,4.54,575.0
사보텐 코엑스점,돈가스,36166497,"['4.31', '999']",2,4.31,999.0
소연 삼성점,국수,13543908,"['4.38', '472']",2,4.38,472.0
